SiteDetails,Time,RecordDate,DayOfWeek,TimeSlot,WiFiCount,Average,DayType,AccessControlCount,Country,Floor,CompositeKey,LocationCode
RND Building,0:00:00,5/11/2025,Sunday,00:00 - 00:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_00:00:00_00:00 - 00:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,0:15:00,5/11/2025,Sunday,00:15 - 00:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_00:15:00_00:15 - 00:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,0:30:00,5/11/2025,Sunday,00:30 - 00:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_00:30:00_00:30 - 00:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,0:45:00,5/11/2025,Sunday,00:45 - 01:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_00:45:00_00:45 - 01:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:15:00,5/11/2025,Sunday,01:15 - 01:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_01:15:00_01:15 - 01:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:30:00,5/11/2025,Sunday,01:30 - 01:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_01:30:00_01:30 - 01:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:45:00,5/11/2025,Sunday,01:45 - 02:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_01:45:00_01:45 - 02:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:00:00,5/11/2025,Sunday,02:00 - 02:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_02:00:00_02:00 - 02:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:15:00,5/11/2025,Sunday,02:15 - 02:30,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_02:15:00_02:15 - 02:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:30:00,5/11/2025,Sunday,02:30 - 02:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_02:30:00_02:30 - 02:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:45:00,5/11/2025,Sunday,02:45 - 03:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_02:45:00_02:45 - 03:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:00:00,5/11/2025,Sunday,03:00 - 03:15,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_03:00:00_03:00 - 03:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:15:00,5/11/2025,Sunday,03:15 - 03:30,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_03:15:00_03:15 - 03:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:30:00,5/11/2025,Sunday,03:30 - 03:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_03:30:00_03:30 - 03:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:45:00,5/11/2025,Sunday,03:45 - 04:00,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_03:45:00_03:45 - 04:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:00:00,5/11/2025,Sunday,04:00 - 04:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_04:00:00_04:00 - 04:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:15:00,5/11/2025,Sunday,04:15 - 04:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_04:15:00_04:15 - 04:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:30:00,5/11/2025,Sunday,04:30 - 04:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_04:30:00_04:30 - 04:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:45:00,5/11/2025,Sunday,04:45 - 05:00,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_04:45:00_04:45 - 05:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:00:00,5/11/2025,Sunday,05:00 - 05:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_05:00:00_05:00 - 05:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:15:00,5/11/2025,Sunday,05:15 - 05:30,2,1.66,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_05:15:00_05:15 - 05:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:30:00,5/11/2025,Sunday,05:30 - 05:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_05:30:00_05:30 - 05:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:45:00,5/11/2025,Sunday,05:45 - 06:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_05:45:00_05:45 - 06:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:00:00,5/11/2025,Sunday,06:00 - 06:15,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_06:00:00_06:00 - 06:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
